order_id,order_datetime,city,dark_store_id,category,order_value_inr,promised_delivery_min,actual_delivery_min,delivery_partner_id,customer_rating
ORD100042,2026-06-05 11:17:00,Gurugram,GGN-DS-01,Personal Care,338.24,20,15.1,DP153,4.0
ORD102979,2026-05-16 18:35:00,Noida,NOI-DS-02,Bakery,315.87,10,5.7,DP225,4.0
ORD104867,2026-05-07 18:25:00,Noida,NOI-DS-01,Baby Care,93.29,15,9.2,DP160,5.0
ORD102555,2026-05-15 17:26:00,Gurugram,GGN-DS-02,Personal Care,107.63,10,5.6,DP217,5.0
ORD101061,2026-05-30 10:09:00,MUMBAI,MUM-DS-02,Bakery,237.87,15,20.2,DP120,2.0
ORD105293,2026-05-24 19:39:00,Chennai,CHN-DS-01,Personal Care,207.18,15,22.1,DP233,5.0
ORD100030,2026-05-04 07:05:00,CHENNAI,CHN-DS-01,Beverages,76.71,15,13.3,DP204,5.0
ORD100473,2026-06-06 10:59:00, noida ,NOI-DS-01,Dairy & Breakfast,431.59,20,19.9,DP125,5.0
ORD101808,2026-05-12 15:21:00,PUNE,PUN-DS-01,Frozen Food,260.3,20,15.6,DP216,5.0
ORD102329,2026-05-20 17:54:00,BENGALURU,BLR-DS-01,Meat & Seafood,82.47,20,18.5,DP241,4.0
ORD105032,2026-05-19 22:19:00,Gurugram,GGN-DS-01,Dairy & Breakfast,50.81,15,14.3,DP143,5.0
ORD103881,2026-05-15 16:28:00,Delhi,DEL-DS-02,Snacks,262.09,20,17.7,DP161,4.0
ORD101392,2026-06-14 19:52:00,Hyderabad,HYD-DS-02,Fruits & Vegetables,197.62,20,29.2,DP150,3.0
ORD105554,2026-05-12 23:52:00,Gurugram,GGN-DS-02,Bakery,244.52,15,13.5,DP114,5.0
ORD103832,2026-05-28 16:54:00,Noida,NOI-DS-02,Fruits & Vegetables,225.84,15,14.5,DP171,5.0
ORD104163,2026-05-18 23:31:00,Hyderabad,HYD-DS-01,Snacks,835.84,15,19.6,DP243,5.0
ORD102099,2026-05-01 10:09:00,Bengaluru,BLR-DS-01,Baby Care,158.19,15,22.1,DP115,5.0
ORD103019,2026-05-09 16:34:00,Mumbai,MUM-DS-03,Personal Care,300.32,20,18.5,DP116,4.0
ORD102973,2026-05-06 07:05:00,Noida,NOI-DS-02,Snacks,118.42,15,11.3,DP132,5.0
ORD102617,2026-05-04 17:58:00,Delhi,DEL-DS-03,Beverages,213.04,15,10.7,DP236,5.0
ORD101953,2026-06-12 08:22:00,Noida,NOI-DS-02,Dairy & Breakfast,206.67,10,17.6,DP182,5.0
ORD101421,2026-05-24 10:57:00,NOIDA,NOI-DS-01,Beverages,499.8,10,5.3,DP183,2.0
ORD103022,2026-05-24 19:44:00,Hyderabad,HYD-DS-02,Personal Care,317.24,15,17.7,DP162,5.0
ORD105260,2026-05-11 18:10:00, pune ,PUN-DS-01,Fruits & Vegetables,424.1,15,17.8,DP158,5.0
ORD103562,2026-06-04 13:13:00,Hyderabad,HYD-DS-02,Beverages,367.8,15,27.7,DP215,5.0
ORD103880,2026-05-20 09:37:00,Noida,NOI-DS-02,Dairy & Breakfast,296.6,15,12.5,DP217,4.0
ORD103911,2026-05-14 18:25:00,Hyderabad,HYD-DS-02,Frozen Food,130.08,20,22.7,DP168,5.0
ORD105286,2026-06-10 08:16:00,Noida,NOI-DS-02,Beverages,124.93,15,15.5,DP246,5.0
ORD102119,2026-05-01 11:34:00,Gurugram,GGN-DS-01,Bakery,312.91,15,17.7,DP123,4.0
ORD103585,2026-06-05 22:38:00,Hyderabad,HYD-DS-02,Beverages,228.54,10,4.9,DP151,5.0
ORD101329,2026-05-28 18:09:00,Chennai,CHN-DS-01,Frozen Food,288.55,10,12.0,DP226,5.0
ORD100775,2026-05-18 10:00:00,Noida,NOI-DS-01,Meat & Seafood,248.15,20,23.3,DP231,5.0
ORD103860,2026-06-14 23:40:00,Delhi,DEL-DS-01,Snacks,153.14,15,18.1,DP164,5.0
ORD103573,2026-05-13 08:39:00, pune ,PUN-DS-01,Fruits & Vegetables,137.11,10,12.0,DP203,1.0
ORD105820,2026-05-27 10:51:00,Mumbai,MUM-DS-01,Baby Care,191.24,20,23.4,DP135,2.0
ORD105138,2026-05-26 07:00:00,Chennai,CHN-DS-01,Fruits & Vegetables,212.35,10,13.8,DP248,5.0
ORD103258,2026-05-05 18:12:00,Pune,PUN-DS-01,Fruits & Vegetables,274.4,10,4.2,DP212,4.0
ORD100973,2026-05-24 16:01:00,Pune,PUN-DS-01,Meat & Seafood,402.31,10,15.5,DP113,5.0
ORD101488,2026-06-05 07:49:00,Chennai,CHN-DS-01,Bakery,179.69,10,14.9,DP135,5.0
ORD104359,2026-05-28 17:11:00,Hyderabad,HYD-DS-01,Frozen Food,246.69,15,12.5,DP235,5.0
ORD102846,2026-05-08 23:20:00,Gurugram,GGN-DS-02,Frozen Food,435.61,15,14.2,DP121,5.0
ORD103857,2026-05-10 20:39:00,Noida,NOI-DS-01,Meat & Seafood,253.64,15,17.3,DP187,5.0
ORD102146,2026-06-02 16:49:00,Hyderabad,HYD-DS-01,Meat & Seafood,154.47,10,12.2,DP227,5.0
ORD105309,2026-05-19 16:50:00,Pune,PUN-DS-01,Baby Care,692.5,20,17.7,DP118,4.0
ORD101361,2026-05-26 08:14:00, noida ,NOI-DS-01,Bakery,290.5,15,-1.0,DP243,5.0
ORD100859,2026-05-27 13:24:00,GURUGRAM,GGN-DS-01,Beverages,70.34,10,15.3,DP220,4.0
ORD104052,2026-05-05 20:44:00,Delhi,DEL-DS-03,Household Essentials,,15,21.7,,
ORD102770,2026-05-17 12:25:00,Chennai,CHN-DS-01,Bakery,132.2,15,22.2,DP140,5.0
ORD105982,2026-06-05 10:23:00,Pune,PUN-DS-01,Fruits & Vegetables,427.55,20,20.8,DP249,
ORD100457,2026-05-22 12:56:00,Gurugram,GGN-DS-01,Bakery,229.76,15,27.5,DP119,3.0
ORD104449,2026-06-08 18:16:00, bengaluru ,BLR-DS-01,Personal Care,409.69,20,18.9,DP199,3.0
ORD101152,2026-05-22 09:20:00,Chennai,CHN-DS-01,Beverages,183.17,15,7.4,DP206,5.0
ORD101304,2026-05-13 11:27:00,Delhi,DEL-DS-02,Fruits & Vegetables,319.06,20,28.6,DP151,5.0
ORD104869,2026-05-12 19:30:00,Bengaluru,BLR-DS-02,Dairy & Breakfast,238.91,15,24.0,DP140,5.0
ORD104940,2026-05-07 21:28:00,Mumbai,MUM-DS-03,Meat & Seafood,274.48,20,27.7,DP228,4.0
ORD105510,2026-05-12 19:00:00,Pune,PUN-DS-01,Meat & Seafood,665.3,15,11.5,DP100,5.0
ORD100682,2026-05-01 23:24:00,Pune,PUN-DS-01,Snacks,287.81,10,14.5,DP193,5.0
ORD100774,2026-05-18 17:49:00,Mumbai,MUM-DS-02,Frozen Food,306.6,10,6.8,DP169,3.0
ORD105232,2026-06-07 12:39:00,Noida,NOI-DS-02,Personal Care,282.8,20,27.1,DP209,5.0
ORD105206,2026-05-05 15:28:00,Delhi,DEL-DS-02,Dairy & Breakfast,319.01,15,15.1,DP248,5.0
ORD102620,2026-05-31 12:00:00,Noida,NOI-DS-01,Fruits & Vegetables,198.08,15,27.1,DP241,5.0
ORD103046,2026-05-01 17:12:00, hyderabad ,HYD-DS-02,Household Essentials,165.41,15,5.0,DP215,5.0
ORD101079,2026-05-28 12:26:00,Delhi,DEL-DS-02,Fruits & Vegetables,169.06,20,27.4,DP181,5.0
ORD100038,2026-05-21 09:00:00,Bengaluru,BLR-DS-02,Frozen Food,108.33,20,17.7,DP244,4.0
ORD105065,2026-05-01 13:34:00,PUNE,PUN-DS-01,Frozen Food,93.24,15,24.3,DP125,5.0
ORD102675,2026-05-10 12:09:00,Mumbai,MUM-DS-01,Frozen Food,271.15,15,23.3,DP148,5.0
ORD103069,2026-05-01 23:54:00,Delhi,DEL-DS-02,Baby Care,63.74,15,18.1,DP177,1.0
ORD101179,2026-06-08 07:03:00,Chennai,CHN-DS-01,Bakery,150.48,15,18.2,DP163,2.0
ORD103886,2026-05-10 14:23:00,Gurugram,GGN-DS-01,Beverages,324.8,10,11.0,DP211,4.0
ORD101600,2026-05-02 16:17:00,Hyderabad,HYD-DS-01,Baby Care,221.05,15,12.6,DP204,5.0
ORD105684,2026-05-12 22:42:00,NOIDA,NOI-DS-02,Bakery,687.96,10,13.3,DP224,5.0
ORD105704,2026-05-28 11:34:00,Noida,NOI-DS-01,Fruits & Vegetables,194.02,10,14.6,DP156,5.0
ORD104125,2026-05-14 11:31:00,Gurugram,GGN-DS-01,Baby Care,219.52,20,22.9,DP175,1.0
ORD103883,2026-06-12 19:31:00,Mumbai,MUM-DS-01,Fruits & Vegetables,218.58,20,29.7,DP165,5.0
ORD104675,2026-05-06 15:16:00,Delhi,DEL-DS-02,Beverages,257.9,15,14.6,DP214,5.0
ORD105144,2026-05-16 23:00:00,Delhi,DEL-DS-03,Baby Care,334.64,15,12.0,DP172,5.0
ORD102683,2026-05-13 17:28:00,HYDERABAD,HYD-DS-02,Personal Care,375.38,15,10.3,DP137,4.0
ORD101279,2026-06-03 14:19:00,Bengaluru,BLR-DS-02,Dairy & Breakfast,89.67,15,20.8,DP204,5.0
ORD103591,2026-05-31 22:29:00,Noida,NOI-DS-02,Dairy & Breakfast,371.32,10,5.0,DP228,5.0
ORD103732,2026-05-17 08:24:00,GURUGRAM,GGN-DS-01,Snacks,368.02,20,11.8,DP124,2.0
ORD105090,2026-05-14 12:47:00,BENGALURU,BLR-DS-02,Meat & Seafood,602.04,15,20.6,DP250,5.0
ORD102760,2026-06-14 18:44:00,Delhi,DEL-DS-01,Baby Care,179.94,15,18.7,DP112,5.0
ORD100157,2026-06-02 10:28:00,Chennai,CHN-DS-01,Baby Care,373.65,15,12.7,DP111,4.0
ORD105109,2026-05-10 20:19:00,Gurugram,GGN-DS-02,Beverages,404.53,10,15.0,DP147,5.0
ORD103323,2026-05-03 21:13:00,Bengaluru,BLR-DS-02,Household Essentials,249.31,15,24.2,DP225,4.0
ORD102459,2026-05-28 08:31:00,GURUGRAM,GGN-DS-02,Baby Care,259.53,15,16.3,DP145,4.0
ORD103895,2026-05-23 20:19:00,Pune,PUN-DS-01,Dairy & Breakfast,154.77,20,24.8,DP203,4.0
ORD100670,2026-05-16 19:49:00,Delhi,DEL-DS-01,Frozen Food,249.17,15,22.4,DP108,5.0
ORD102551,2026-06-02 09:28:00,Chennai,CHN-DS-01,Fruits & Vegetables,245.13,15,13.8,DP193,3.0
ORD103458,2026-05-14 19:03:00, chennai ,CHN-DS-01,Dairy & Breakfast,90.25,15,24.5,DP223,5.0
ORD103392,2026-05-23 12:40:00,Hyderabad,HYD-DS-02,Snacks,255.41,15,23.1,DP212,5.0
ORD102079,2026-05-28 15:55:00, bengaluru ,BLR-DS-01,Snacks,,15,15.4,DP204,
ORD104520,2026-05-05 20:42:00,Mumbai,MUM-DS-03,Bakery,279.6,10,18.2,DP124,5.0
ORD105695,2026-05-28 17:58:00,Chennai,CHN-DS-01,Baby Care,109.28,20,20.3,DP131,5.0
ORD102831,2026-05-27 08:01:00,Chennai,CHN-DS-01,Dairy & Breakfast,200.28,15,21.1,DP209,5.0
ORD104391,2026-05-02 23:46:00,Chennai,CHN-DS-01,Baby Care,129.33,15,20.9,DP176,3.0
ORD102946,2026-05-15 23:26:00,Noida,NOI-DS-01,Household Essentials,156.64,15,10.6,DP210,5.0
ORD105364,2026-06-04 13:32:00,Delhi,DEL-DS-03,Beverages,152.16,10,12.8,DP249,4.0
ORD101718,2026-06-08 19:35:00,Pune,PUN-DS-01,Baby Care,389.74,15,18.7,DP141,5.0
ORD103676,2026-06-04 10:26:00,Chennai,CHN-DS-01,Frozen Food,288.29,15,14.5,DP163,4.0
ORD102398,2026-06-09 13:58:00,Mumbai,MUM-DS-01,Fruits & Vegetables,161.26,20,32.2,DP206,5.0
ORD102166,2026-05-21 12:45:00,Delhi,DEL-DS-02,Dairy & Breakfast,681.93,15,26.3,DP234,4.0
ORD105460,2026-05-12 23:42:00,Hyderabad,HYD-DS-01,Household Essentials,121.17,15,15.3,DP139,4.0
ORD102688,2026-06-11 10:34:00,Mumbai,MUM-DS-01,Fruits & Vegetables,176.71,15,12.2,DP201,5.0
ORD104589,2026-05-17 14:46:00, noida ,NOI-DS-02,Dairy & Breakfast,408.6,15,22.3,DP119,4.0
ORD101399,2026-05-12 21:27:00,Pune,PUN-DS-01,Household Essentials,239.5,15,30.6,DP241,5.0
ORD104006,2026-05-29 14:22:00,Gurugram,GGN-DS-01,Dairy & Breakfast,119.69,15,12.9,DP241,5.0
ORD105760,2026-05-05 10:26:00,Noida,NOI-DS-02,Personal Care,425.39,15,20.1,DP169,
ORD102704,2026-06-08 09:40:00,Mumbai,MUM-DS-01,Bakery,125.24,15,19.8,DP179,2.0
ORD104809,2026-06-01 21:12:00,Hyderabad,HYD-DS-01,Household Essentials,311.74,20,30.6,DP192,5.0
ORD103947,2026-05-31 20:28:00,Mumbai,MUM-DS-02,Dairy & Breakfast,231.84,15,19.2,DP233,4.0
ORD103746,2026-05-16 09:30:00,Hyderabad,HYD-DS-01,Meat & Seafood,435.9,20,22.6,DP184,5.0
ORD103703,2026-05-14 15:26:00,Delhi,DEL-DS-03,Frozen Food,270.57,15,12.0,DP176,5.0
ORD101334,2026-05-03 11:15:00,Delhi,DEL-DS-03,Dairy & Breakfast,137.68,15,17.9,DP136,5.0
ORD101863,2026-05-01 07:20:00, delhi ,DEL-DS-03,Bakery,137.28,15,17.2,DP107,4.0
ORD102752,2026-05-04 18:03:00,Noida,NOI-DS-02,Frozen Food,228.92,15,15.2,DP166,4.0
ORD103195,2026-05-03 16:46:00,BENGALURU,BLR-DS-01,Meat & Seafood,197.47,10,8.1,DP155,5.0
ORD100079,2026-06-09 11:15:00,Mumbai,MUM-DS-01,Snacks,8.27,15,10.9,DP129,5.0
ORD102112,2026-05-15 14:29:00,Noida,NOI-DS-01,Snacks,186.63,10,4.0,DP238,4.0
ORD102431,2026-06-01 07:13:00,Hyderabad,HYD-DS-02,Dairy & Breakfast,173.25,20,24.4,DP101,1.0
ORD101429,2026-05-28 12:22:00,Noida,NOI-DS-02,Beverages,522.37,10,17.6,DP155,2.0
ORD105186,2026-05-27 20:12:00,Delhi,DEL-DS-01,Beverages,100.58,15,18.6,DP115,4.0
ORD100753,2026-05-09 10:44:00,Bengaluru,BLR-DS-02,Personal Care,257.36,15,18.0,DP234,3.0
ORD105898,2026-05-11 23:27:00,Bengaluru,BLR-DS-01,Frozen Food,68.28,15,10.7,DP229,3.0
ORD100476,2026-05-22 14:03:00,Delhi,DEL-DS-02,Frozen Food,415.12,15,21.1,DP195,3.0
ORD104221,2026-05-02 16:18:00,Chennai,CHN-DS-01,Household Essentials,46.1,20,18.9,DP107,2.0
ORD105708,2026-05-16 19:22:00,Hyderabad,HYD-DS-01,Fruits & Vegetables,61.66,15,24.8,DP201,5.0
ORD103985,2026-05-27 23:28:00, delhi ,DEL-DS-02,Fruits & Vegetables,113.01,20,24.3,DP177,5.0
ORD104647,2026-05-18 18:39:00,Chennai,CHN-DS-01,Frozen Food,221.45,10,8.8,DP193,4.0
ORD101451,2026-05-09 14:58:00,Noida,NOI-DS-01,Household Essentials,97.29,15,13.3,DP215,4.0
ORD104530,2026-05-29 09:37:00,Bengaluru,BLR-DS-02,Baby Care,136.01,20,17.9,DP228,5.0
ORD104443,2026-06-04 18:42:00,Hyderabad,HYD-DS-01,Fruits & Vegetables,333.81,20,20.2,DP183,5.0
ORD100423,2026-05-26 17:20:00,Bengaluru,BLR-DS-02,Frozen Food,76.51,15,8.0,DP159,5.0
ORD103079,2026-06-07 20:08:00,Hyderabad,HYD-DS-01,Fruits & Vegetables,340.54,20,25.0,DP106,5.0
ORD104065,2026-05-20 11:28:00,GURUGRAM,GGN-DS-02,Baby Care,160.89,15,19.5,DP163,5.0
ORD103064,2026-06-08 14:08:00,Gurugram,GGN-DS-01,Frozen Food,275.02,15,19.3,DP226,5.0
ORD102126,2026-06-14 22:51:00,Pune,PUN-DS-01,Frozen Food,207.02,15,11.8,DP230,5.0
ORD104438,2026-05-29 09:17:00,Mumbai,MUM-DS-02,Fruits & Vegetables,153.66,15,18.3,DP174,4.0
ORD101272,2026-05-01 10:24:00,Mumbai,MUM-DS-02,Beverages,144.39,15,16.5,DP126,5.0
ORD103539,2026-05-28 18:38:00,Noida,NOI-DS-02,Baby Care,286.43,15,17.0,DP197,5.0
ORD100387,2026-05-13 11:56:00,Delhi,DEL-DS-02,Personal Care,211.34,15,17.3,DP170,5.0
ORD104779,2026-05-30 09:49:00,Delhi,DEL-DS-02,Dairy & Breakfast,133.35,15,21.7,DP121,5.0
ORD100362,2026-06-07 20:24:00,Mumbai,MUM-DS-02,Fruits & Vegetables,174.61,15,25.9,DP152,5.0
ORD105812,2026-06-04 15:31:00, delhi ,DEL-DS-01,Frozen Food,132.27,20,14.1,DP241,5.0
ORD100671,2026-05-07 23:42:00,Mumbai,MUM-DS-02,Beverages,207.04,15,14.1,DP199,4.0
ORD102227,2026-06-10 07:46:00,Pune,PUN-DS-01,Snacks,258.07,15,11.0,DP180,5.0
ORD104256,2026-06-11 10:51:00,Delhi,DEL-DS-02,Frozen Food,160.08,15,20.8,DP199,2.0
ORD103078,2026-05-13 14:12:00,Mumbai,MUM-DS-03,Snacks,641.26,15,20.8,DP163,5.0
ORD102661,2026-05-10 10:05:00,PUNE,PUN-DS-01,Household Essentials,85.32,20,18.8,DP214,4.0
ORD103360,2026-05-24 23:34:00,Delhi,DEL-DS-02,Beverages,82.7,10,12.7,DP119,3.0
ORD103009,2026-05-15 08:28:00,CHENNAI,CHN-DS-01,Bakery,146.67,20,20.0,DP127,5.0
ORD101594,2026-06-05 13:45:00,Gurugram,GGN-DS-02,Snacks,,10,12.6,,
ORD101415,2026-05-07 11:18:00,Chennai,CHN-DS-01,Personal Care,386.08,15,6.7,DP123,5.0
ORD102538,2026-06-09 15:49:00,Gurugram,GGN-DS-02,Meat & Seafood,108.32,15,13.6,DP110,3.0
ORD104978,2026-05-14 19:55:00, mumbai ,MUM-DS-03,Snacks,346.32,15,23.2,DP199,5.0
ORD105156,2026-05-04 17:01:00,BENGALURU,BLR-DS-01,Frozen Food,72.94,15,16.9,DP181,2.0
ORD102524,2026-06-03 14:15:00,Chennai,CHN-DS-01,Meat & Seafood,56.95,10,7.2,DP138,3.0
ORD100754,2026-06-14 13:39:00,Hyderabad,HYD-DS-01,Fruits & Vegetables,303.77,10,9.9,DP246,5.0
ORD103649,2026-05-16 22:50:00,CHENNAI,CHN-DS-01,Personal Care,61.97,10,11.9,DP183,4.0
ORD105822,2026-05-26 12:53:00,Noida,NOI-DS-01,Personal Care,,15,20.4,DP176,
ORD104746,2026-06-07 07:54:00,Noida,NOI-DS-02,Baby Care,92.17,20,22.5,DP196,5.0
ORD102270,2026-05-14 18:24:00,Delhi,DEL-DS-03,Bakery,211.51,20,23.5,DP122,2.0
ORD102412,2026-06-04 18:24:00, pune ,PUN-DS-01,Personal Care,45.58,15,16.0,DP154,4.0
ORD100356,2026-05-31 10:18:00,Pune,PUN-DS-01,Bakery,67.79,10,4.0,DP129,5.0
ORD104458,2026-06-14 16:11:00,Bengaluru,BLR-DS-01,Beverages,515.2,15,20.9,DP189,4.0
ORD100203,2026-05-19 19:32:00,Chennai,CHN-DS-01,Baby Care,67.75,15,23.4,DP141,5.0
ORD100901,2026-05-20 22:55:00,Noida,NOI-DS-01,Baby Care,252.59,15,11.0,DP116,5.0
ORD101922,2026-05-06 18:04:00,Pune,PUN-DS-01,Snacks,519.87,15,12.5,DP176,4.0
ORD103383,2026-05-28 09:00:00,Hyderabad,HYD-DS-02,Snacks,318.64,15,13.8,DP200,5.0
ORD103636,2026-05-24 07:20:00,MUMBAI,MUM-DS-03,Fruits & Vegetables,290.51,10,6.0,DP174,3.0
ORD104610,2026-06-09 20:53:00,Chennai,CHN-DS-01,Meat & Seafood,346.5,15,16.6,DP107,3.0
ORD100880,2026-05-06 09:25:00,Mumbai,MUM-DS-02,Snacks,133.6,15,12.2,DP119,2.0
ORD105014,2026-05-28 15:22:00,Mumbai,MUM-DS-01,Meat & Seafood,145.88,20,24.4,DP137,5.0
ORD104728,2026-05-06 18:58:00,Gurugram,GGN-DS-02,Household Essentials,158.99,15,15.6,DP243,4.0
ORD105843,2026-05-07 17:01:00,Bengaluru,BLR-DS-01,Frozen Food,113.78,10,10.9,DP227,4.0
ORD105602,2026-05-13 22:36:00,Hyderabad,HYD-DS-01,Snacks,539.2,15,16.3,DP210,4.0
ORD105086,2026-05-23 14:36:00,Noida,NOI-DS-02,Household Essentials,115.9,15,11.9,DP218,5.0
ORD104231,2026-05-26 08:14:00,Chennai,CHN-DS-01,Dairy & Breakfast,514.15,15,15.8,DP170,3.0
ORD102206,2026-05-22 10:05:00,MUMBAI,MUM-DS-02,Baby Care,178.99,20,21.3,DP158,2.0
ORD104975,2026-05-30 23:56:00,Pune,PUN-DS-01,Dairy & Breakfast,142.1,15,12.0,DP214,5.0
ORD102477,2026-05-18 09:28:00,Noida,NOI-DS-01,Personal Care,168.42,15,22.0,DP232,3.0
ORD100558,2026-05-21 23:14:00,PUNE,PUN-DS-01,Snacks,141.49,20,23.4,DP117,
ORD104056,2026-05-30 14:06:00,Pune,PUN-DS-01,Dairy & Breakfast,82.1,15,12.4,DP147,3.0
ORD101387,2026-05-28 22:13:00,Delhi,DEL-DS-02,Fruits & Vegetables,224.34,15,12.1,DP105,4.0
ORD102567,2026-05-31 10:26:00,Bengaluru,BLR-DS-02,Dairy & Breakfast,51.79,20,21.0,DP231,2.0
